CustomerID,observation_date,future_monetary_90d,churn_risk,clv_si_vuelve,valor_esperado,valor_en_riesgo,prioridad
12346,2011-04-01,0.0,0.8196542,13309.024567610393,2400.2263327967385,10908.798234813654,"1 · RETENER — alto riesgo, alto valor"
12347,2011-04-01,1018.77,0.32490072,1395.8021936918174,942.3050192106318,453.4971328830386,"2 · FIDELIZAR — bajo riesgo, alto valor"
12348,2011-04-01,367.0,0.51732445,940.766757691831,454.0851144185113,486.6816432733197,"1 · RETENER — alto riesgo, alto valor"
12349,2011-04-01,0.0,0.5960061,1353.0116524145726,546.6084604155519,806.4031919990207,"1 · RETENER — alto riesgo, alto valor"
12350,2011-04-01,0.0,0.68649465,545.3475130220286,170.96936378330443,374.3781492387241,"3 · DEJAR IR — alto riesgo, bajo valor"
12351,2011-04-01,0.0,0.6896834,570.5080805001056,177.03814051125016,393.46993998885546,"3 · DEJAR IR — alto riesgo, bajo valor"
12352,2011-04-01,0.0,0.13930401,1130.9285018458531,973.3855904812378,157.5428776603195,"2 · FIDELIZAR — bajo riesgo, alto valor"
12353,2011-04-01,89.0,0.6896834,619.8872673343313,192.3613229794559,427.52594435487543,"1 · RETENER — alto riesgo, alto valor"
12356,2011-04-01,481.46,0.29398894,2384.195313772714,1683.2682533327593,700.9270604399549,"2 · FIDELIZAR — bajo riesgo, alto valor"
12357,2011-04-01,0.0,0.713878,6245.4958332628985,1786.9739090670778,4458.52192419582,"1 · RETENER — alto riesgo, alto valor"
12358,2011-04-01,0.0,0.64644164,1129.0346894178326,399.1796549014445,729.8550345163881,"1 · RETENER — alto riesgo, alto valor"
12359,2011-04-01,1109.32,0.3331269,1386.4642887664234,924.5957347115199,461.8685540549035,"2 · FIDELIZAR — bajo riesgo, alto valor"
12360,2011-04-01,1083.58,0.64644164,726.2910693491973,256.78628047319455,469.50478887600275,"1 · RETENER — alto riesgo, alto valor"
12361,2011-04-01,0.0,0.7100545,370.4972506566183,107.42400436875852,263.0732462878598,"3 · DEJAR IR — alto riesgo, bajo valor"
12362,2011-04-01,495.24,0.64516073,652.6524143487594,231.586703234151,421.0657111146084,"1 · RETENER — alto riesgo, alto valor"
12365,2011-04-01,0.0,0.6083683,692.4008037334561,271.1661193920753,421.2346843413808,"1 · RETENER — alto riesgo, alto valor"
12369,2011-04-01,0.0,0.73638946,387.81829334474725,102.23299043652057,285.5853029082267,"3 · DEJAR IR — alto riesgo, bajo valor"
12370,2011-04-01,0.0,0.30487886,1519.0487114363443,1055.9229161987014,463.12584050882236,"2 · FIDELIZAR — bajo riesgo, alto valor"
12371,2011-04-01,0.0,0.5960061,1456.4188688927213,588.3843455634054,868.0345233293159,"1 · RETENER — alto riesgo, alto valor"
12372,2011-04-01,515.7,0.6696372,552.9450629462931,182.67247746253668,370.2725854837564,"3 · DEJAR IR — alto riesgo, bajo valor"
12373,2011-04-01,0.0,0.68649465,545.3475130220286,170.96936378330443,374.3781492387241,"3 · DEJAR IR — alto riesgo, bajo valor"
12374,2011-04-01,0.0,0.66537124,894.2713155125602,299.2489021420699,595.0224133704903,"1 · RETENER — alto riesgo, alto valor"
12376,2011-04-01,0.0,0.6026258,532.0672839446348,211.4298180831946,320.6374658614402,"3 · DEJAR IR — alto riesgo, bajo valor"
12377,2011-04-01,0.0,0.33687875,1220.2089434283184,809.1464474304609,411.06245963279724,"2 · FIDELIZAR — bajo riesgo, alto valor"
12379,2011-04-01,459.84,0.6970986,610.4073159222431,184.89322275882506,425.51409316341807,"1 · RETENER — alto riesgo, alto valor"
12383,2011-04-01,241.61,0.31256402,1093.220726224361,751.5192663297549,341.70145989460605,"2 · FIDELIZAR — bajo riesgo, alto valor"
12385,2011-04-01,0.0,0.576913,1569.995606434443,664.2447324691001,905.750873965343,"1 · RETENER — alto riesgo, alto valor"
12386,2011-04-01,0.0,0.55826277,664.2265429176346,293.4135962113311,370.8129467063035,"1 · RETENER — alto riesgo, alto valor"
12387,2011-04-01,0.0,0.7618356,411.7207660466062,98.05723946332944,313.66352658327673,"3 · DEJAR IR — alto riesgo, bajo valor"
12388,2011-04-01,0.0,0.4691475,548.0582472828437,290.93808886546725,257.12015841737644,"3 · DEJAR IR — alto riesgo, bajo valor"
